stable_id,title_zh,abstract_zh
b14bc0b9b67d4fa7,蓝氢和美国税收抵免政策：联邦政策变化下 45Q 和 45V 激励措施的经济评估,
ad951a2b46059e88,使用无模型强化学习在实时不平衡市场中进行自适应电动汽车充电调度,
1afed7f4ca7cf0bf,用于能量密集型初始无阳极钠金属电池的晶界工程铝集流体,最初的无阳极钠金属电池代表了高比能和安全电池系统的有希望的候选者，仅依赖于阴极钠库。然而，电化学不活泼的“死”Na 和不稳定的固体电解质界面的不可逆积累，通过快速活性Na 耗尽从根本上限制了可循环性。在这里，我们利用晶界富镓多晶铝集电器来触发铝离子的受控溶解。溶解的铝离子改变了电解质的局部配位环境，从而扰乱了钠离子的溶剂化平衡，促进钠离子向正极迁移以进行电荷补偿。富镓铝集流体可实现超过 2500 次循环的稳定镀钠/脱钠。基于 117 mAh g−1 的标称容量，含有 Na3V2(PO4)3 的软包电池在二甘醇二甲醚中的 1 M NaPF6 中以 35.1 mA g−1 循环 100 次后，容量保持率为 88.7%。此外，根据所有电池组件（正极、负极、隔膜和电解质）计算，具有高正极负载（47.4 mg cm−2）的全电池实现了201.5 Wh kg−1的高比能。这项工作提出了一种可行的集电器设计概念，可以扩展到其他最初无阳极的电池系统。
bc88a1f0de0b45a2,点接触中边缘磁等离子引起的粘性电子流体的超弹流,在窄导体中，电子与电子的碰撞可以产生粘性流体状态，从而使导电性超越弹道输运进入超弹道状态。由超高迁移率二维电子气制成的点接触可以作为研究这种效应的平台。在微波辐射下，点接触中的边缘磁等离子被激发并强烈影响电子动力学。这项研究使用光电导信号（微波暴露引起的变化）来研究超弹道电子流，并通过尺寸相关的光电导、磁场效应和微波功率分析来证实。在低磁场下，弱微波由于超弹道流而导致正光电导，而强辐射由于增强的声子散射而导致负光电导。
d62380d53e6d73aa,具有蜘蛛丝般韧性的纤维素纤维的仿生纳米结构,源自可再生生物质的纤维素纤维通过分子排列和致密堆积表现出卓越的拉伸强度，但其韧性仍然有限，通常低于 50 MJ m−3。受樱桃树皮螺旋纳米结构的启发，我们引入了一种仿生纳米取向策略，通过可扩展的微流体纺丝技术制造具有双向取向结构的再生纤维素纤维。结合实验表征和分子模拟，我们证明这种双轴纳米结构可以有效地重新分布应力并抑制变形过程中的裂纹扩展，实现 41% 的显着断裂应变以及 553 MPa 的拉伸强度。这种协同作用产生了 184 MJ m−3 的韧性，相对于大多数先前报道的纤维素纤维和合成聚合物表现出极具竞争力的性能，并实现了与天然蜘蛛丝相同数量级的机械性能。此外，这种增强功能从单纤维无缝延伸到机织织物，凸显了其在纺织品、汽车零部件和航空航天应用中作为可持续高性能材料的潜力。我们的研究结果阐明了一种克服纤维素纤维固有脆性的设计，提高了它们作为环保结构材料的适用性。
fd7c53fd9630f52d,揭示动量编码超表面中隐藏的周期性,被称为超表面的结构化平面材料能够在亚波长尺度上对电磁波进行多种操作。特别是，超表面可以用作空间采样晶格，编码指定的面内动量分布，如相位梯度和 Pancharatnam-Berry 超表面中常用的那样。然而，这种动量编码的超表面通常会失去全局周期性，使严格的分析变得复杂。在这里，我们引入了一个通用的几何框架，它将动量编码的超表面解释为通过将一维周期性扰动施加到二维布拉维晶格上而形成的定向莫尔晶格。我们推导了显式的可通约性条件，揭示了其他非周期结构中隐藏的周期性，并使它们能够表示为紧凑的周期性超晶格。这种超级单元表示允许将辐射通道离散化为定义的衍射级，从而实现清晰、直观的性能表征。我们通过将其应用于局部超表面来验证该框架，获得与二维采样理论一致的衍射结果，并将其应用于具有自旋相关的 Rashba 动量的非局部超表面，精确识别其超晶格条件及其谷可寻址特征。我们进一步通过实验证明了使用制造的动量编码光子晶体板预测的谷寻址能力。因此，我们的方法为分析复杂的超表面结构和探索波动物理学中的各种晶格现象提供了有效且可推广的基础
b33cf75547f229ad,铁磁 CoS2 表面五边形晶格上的相关奇异平带,平带已在各种几何挫败晶格中提出，但其实验实现仅限于二维 (2D) kagome 和三维 (3D) 烧绿石晶格。虽然合成具有所需晶格几何形状的块状晶体通常具有挑战性，但 3D 块状材料的表面有时会自然地呈现 2D 块状晶体中难以实现的 2D 晶格结构。因此，位于此类二维表面上的电子可以成为驻留在未探索的晶格几何结构上的奇异平带的新平台。在这里，我们报告了在 3D 铁磁拓扑半金属 CoS2 表面的 2D 五边形晶格中首次实验观察到具有带交叉的奇异平带。我们证明，局部表面平带和扩展体拓扑带之间的耦合产生了表面非费米液体行为，其特征是具有线性温度依赖性的准粒子散射率和明显的准粒子展宽。 CoS2 的这项研究强调金属黄铁矿材料是探索位于表面五边形晶格上的自旋极化奇异平带奇异特性的理想平台，这为研究五边形材料中的相关电子现象提供了新的视角。
7dbcd73e4d9e7b9e,通过弱结合水介导的剪切增稠电解质实现实用的水性锌金属软包​​电池,锌负极的无序枝晶生长和腐蚀反应仍然是水性锌金属电池的关键挑战。调节剪切增稠非牛顿流体电解质中的水态已成为同时抑制锌负极枝晶生长和腐蚀的有前途的策略。在此，我们设计了一种基于羧甲基纤维素和磺酸硅氧化物纳米粒子的多功能剪切增稠非牛顿流体电解质，它通过水分子状态的分层调节解决了这两个问题。羧甲基纤维素将游离水转化为弱结合水，从而抑制水引起的寄生反应。同时，磺化 SiO2 纳米粒子与支链淀粉和羧甲基纤维素形成集成的剪切增稠网络，同时引入丰富的表面 –SO3⁻ 基团，破坏锌界面处强结合的水层。这种结构能够在枝晶尖端实现局部机械硬化，而不会影响离子电导率。结果，Zn | |Zn 对称电池在 50 mA cm⁻2 和 25 mAh cm⁻2 下表现出稳定的 Zn 电镀/剥离 900 小时，并且 Zn | |容量为 1.5 Ah 的 I2 软包电池在 20 mA cm⁻2 下可保持超过 200 个循环的稳定性。这些发现为耐腐蚀、机械适应性水性和实用的锌袋电池系统提供了一条替代途径。
97ae3a87bdf226c5,醚基电解质中的二氢键相互作用可实现高压锂金属电池,"高压锂金属电池需要同时将氧化稳定性与锂金属相容性结合起来的电解质，这对传统的基于醚的系统构成了重大挑战，这些系统通常仅限于低于4.0 V的电压。尽管传统的电解质工程已被广泛采用来增强氧化稳定性，但它们通常会损害离子电导率或需要复杂的合成路线。在此，我们提出了一种基于二氢键相互作用的策略，通过将 0.05 M LiBH4 引入到传统的醚基电解质中来构建二氢键电解质。 BH₄−中的氢氢H−与1,2-二甲氧基乙烷的活性Hδ⁺原子相互作用形成二氢键，从而减弱Li⁺与溶剂的相互作用，加速Li⁺脱溶剂化，促进均匀的Li沉积。同时，这些二氢键相互作用屏蔽了正极界面内溶剂的活性Hδ⁺位点，从而显着抑制了1,2-二甲氧基乙烷的氧化分解。结果，电解质的氧化稳定性延长至 5.54 V，而不影响离子电导率 (>16 mS cm−1/30 °C)。使用这种电解质的锂金属全电池在 4.5 V 下表现出稳定的循环。这项研究为高压醚基电解质的设计提供了一条有前景的途径。"
b2d9d279d3977206,用于评估同地浮动风波发电场的空间明确的技术经济框架,
