title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Nanosecond phase ordering in ultra-large spin Hall nano-oscillator lattices for unconventional computing,https://www.nature.com/articles/s41565-026-02216-y,Nature Nanotechnology,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,10.1038/s41565-026-02216-y,Johan Åkerman,"Networks of coupled oscillators underpin fundamental studies of collective dynamics and emerging paradigms in physical computing. Spin Hall nano-oscillators (SHNOs) are particularly attractive due to their scalability and fast spin-wave-mediated interactions, yet mutual synchronization has so far been limited to small arrays and predominantly steady-state characterization. Here we demonstrate nanosecond phase ordering in lattices of up to N = 105,000 constriction-type SHNOs with widths of 10–20 nm. Microwave spectra reveal full mutual synchronization, a quality factor exceeding 106, power scaling as N and linewidth scaling as N−1. Time-resolved Brillouin light scattering shows a weak, approximately logarithmic increase in the synchronization time with array size. The synchronization time varies from 10 ns in arrays of 100 SHNOs to 45 ns for the largest arrays and is consistent with Kuramoto-type collective phase-ordering dynamics in a large two-dimensional oscillator lattice. These results establish spin-wave-mediated SHNO lattices as an experimentally accessible platform for exploring collective oscillator physics and for developing embedded-Ising and reservoir-computing architectures operating at tens of gigahertz.",nature_html,0
Generalizing acid-base synthesis of metal-organic frameworks for molecular-sieving separation of alcohol/benzene azeotropes,https://www.cell.com/matter/fulltext/S2590-2385(26)00281-X?rss=yes,Matter,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,10.1016/j.matt.2026.102918,Huajun Yang,"Metal-organic frameworks (MOFs) are typically synthesized from costly metal salts and generate corrosive waste. Here, we demonstrate that diverse MOFs can instead be accessed directly from inexpensive metal hydroxides via a simple acid-base reaction that produces water as the only byproduct. This approach enables scalable production at near-zeolite-level cost and yields gallate-based MOFs capable of efficiently separating challenging alcohol/benzene azeotropes. The strategy provides a practical and sustainable route for the large-scale preparation of MOF materials.",rss_cell,0
Engineering trispecific IL-2 receptor agonistic antibodies through geometry optimization for enhanced Treg targeting,https://www.nature.com/articles/s41467-026-75024-6,Biological sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Susan M. Schlenner,"Regulatory T cells (Tregs) are central to maintaining immune tolerance, and their selective activation via interleukin-2 (IL-2) signaling presents a promising therapeutic strategy for autoimmune diseases and transplant rejection. Here, we develop IL-2 receptor (IL-2R) agonists, employing trispecific antibodies that simultaneously engage all three IL-2R subunits. This design preferentially activates and expands Tregs over conventional T cells and natural killer cells that express the dimeric IL-2R (CD122 and CD132). Incorporation of a second CD25-targeting VHH domain confers further enhanced specificity and potency for CD25⁺ Tregs. Extensive engineering of antibody geometry was then critical to maximize Treg selectivity, highlighting the importance of spatial configuration in receptor engagement. This study reports the successful development of trispecific IL-2R-targeting antibodies and significantly expands the potential of antibody-based immunomodulation. By selectively activating the high-affinity trimeric IL-2R on Tregs, this versatile platform offers a differentiated and promising strategy for the treatment of autoimmune diseases and transplant rejection.",nature_html,0
Prediction of microvascular invasion in hepatocellular carcinoma using contrast-enhanced ultrasound and deep learning,https://www.nature.com/articles/s41467-026-74985-y,Biological sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Ping Liang,"Microvascular invasion (MVI) is a key prognostic factor in hepatocellular carcinoma but is currently only detectable after surgery. Here, we develop MAPUSE, a deep learning model using contrast-enhanced ultrasound (CEUS) to predict MVI non-invasively. We train and test the model on 5148 CEUS videos from 1716 patients across multiple centers. Results show that MAPUSE achieves accurate MVI prediction (AUCs 0.835-0.978) across different tumor sizes, contrast agents, and prospective validations. Transcriptomic analysis links the model’s predictions to CD8 + T cell immune infiltration, confirmed via the model’s attention maps. In a clinical cohort, patients predicted as MVI-positive can benefit from post-ablation immunotherapy. MAPUSE thus enables preoperative, non-invasive MVI assessment and provides insights into the tumor immune microenvironment, offering a valuable tool for clinical decision-making.",nature_html,0
Resting-state electroretinography reveals pathological retinal oscillations in retinitis pigmentosa mice and patients,https://www.nature.com/articles/s41467-026-75520-9,Biological sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Diego Ghezzi,"Retinal remodeling occurs in both retinitis pigmentosa and age-related macular degeneration. However, it is still unknown whether spared retinal circuits are also functionally altered. Functional changes have been observed in animal models of retinitis pigmentosa, including the emergence of bursting oscillatory activity in retinal ganglion cells. Yet, comparable oscillatory activity, or other functional alterations, has not been demonstrated in patients. To address this gap, here we report a non-invasive corneal neurotechnology measuring in-vivo resting-state electroretinography and analyzing its frequency content and temporal characteristics to identify biomarkers of functional remodeling. We document that retinal remodeling induces bursting oscillatory activity in-vivo in retinitis pigmentosa mouse models and translate these results to patients. Moreover, we showed in mice that bursting oscillatory activity can be pharmacologically modulated in-vivo. Furthermore, reducing this oscillatory activity increases retinal excitability to electrical stimulation. These results are crucial for a better understanding of retinal degeneration and contribute to sight restoration efforts.",nature_html,0
PregMedNet: Multifaceted maternal medication impacts on neonatal complications,https://www.nature.com/articles/s41467-026-75000-0,Biological sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Nima Aghaeepour,"While medication use is common among pregnant women, medication safety remains insufficiently characterized because studies in pregnant women are challenging due to safety concerns. The recent digitization of healthcare databases and advances in computational methods have created new opportunities for large-scale, retrospective drug safety evaluations. Here, we present PregMedNet, a platform that characterizes multifaceted maternal medication associations on neonatal outcomes during pregnancy, covering more than 27,000 drug-disease pairs across 1,152 medications and 24 outcomes. These results encompass known and additional odds ratios (ORs), adjusted ORs, and drug-drug interactions, systematically analyzed using nationwide claims data and an advanced machine learning pipeline. Notably, one of the associations identified in this study is supported by in vivo experiments, increasing confidence in PregMedNet’s findings and highlighting the utility of claims data and machine learning for perinatal medication safety studies. Additionally, potential biological mechanisms underlying the associations are explored using a graph learning method, providing candidate pathways for future mechanistic investigations. We expect that PregMedNet will contribute to advancing maternal medication safety and improving neonatal outcomes by providing extensive, multifaceted drug safety information on this previously underrepresented population.",nature_html,0
Intracellular iron homeostasis-regulated epigenetic reprogramming contributes to −7/del(7q) leukemia,https://www.nature.com/articles/s41467-026-75292-2,Biological sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Yu Liu,"Chromosome copy number variations are poorly understood drivers of human malignancies. −7/del(7q) is common in acute myeloid leukemia, confers a poor prognosis, and is thought to harbor several tumor suppressors. Previously, we identified the histone methyltransferase KMT2C as a tumor suppressor in this region. Here, through a differentiation CRISPR screen in hematopoietic stem and progenitor cells, we find that the mitochondrial iron transporter ABCB8 is essential for their differentiation. ABCB8 deficiency accelerates leukemogenesis in vivo and disrupts iron homeostasis, reducing cytoplasmic iron availability and impairing iron-dependent enzymes, including the histone demethylase KDM6A. Consequently, ABCB8 loss elevates H3K27me3 levels, repressing differentiation genes in an iron- and KDM6A-dependent manner. Notably, ABCB8 and KMT2C, neighboring genes on 7q, cooperatively regulate H3K27me3 to suppress leukemogenesis. Our findings reveal ABCB8 as a tumor suppressor in −7/del(7q) acute myeloid leukemia and uncover an epigenetic collaboration between neighboring tumor suppressors, driven by iron-mediated chromatin remodeling.",nature_html,0
Managing the impacts of EU electric vehicle import tariffs,https://www.nature.com/articles/s41560-026-02102-w,Nature Energy,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,10.1038/s41560-026-02102-w,Xin Sun,EU import tariffs on battery electric vehicles may not substantially hinder the overall electrification process but may substantially reduce adoption in vulnerable markets. These findings highlight the uneven implications of broad trade interventions and underscore the importance of complementary policies to support a resilient and inclusive transition.,nature_html,0
Genetic drivers of etiologic heterogeneity in thyroid cancer,https://www.nature.com/articles/s41467-026-75111-8,Biological sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Alicia R. Martin,"Thyroid cancer is the most common endocrine malignancy, yet its biological underpinnings remain incompletely understood. Here we show that common risk alleles for thyroid cancer point to distinct biological pathways underlying disease susceptibility. We perform a multi-ancestry genome-wide association meta-analysis of thyroid cancer (16,167 cases and 2,430,374 controls), identifying 51 independent loci, including 21 not previously reported. By integrating these loci with genetic associations for 151 thyroid-cancer-related traits, we identify pleiotropic mechanistic clusters linked to thyroid function, oncogenic pathways, and mixed physiological function. Two thyroid-specific clusters, associated with thyroid stimulating hormone or thyroid growth and function, are enriched in thyroid tissues. Oncogenic clusters include DNA repair (ATM, CHEK2, TP53) and telomere maintenance (TERT) genes, implicating shared cancer mechanisms. Cluster-specific polygenic scores are associated with thyroid disease, cancer, and metabolic traits across ancestry groups, suggesting distinct genetic subtypes of thyroid cancer risk and supporting pleiotropy-based approaches to genetic risk stratification.",nature_html,0
"Energy intensity, offshoring and the illusion of decarbonization",https://www.nature.com/articles/s41467-026-74721-6,Earth and environmental sciences : Nature Communications subject feeds,2026-07-10 00:00:00 UTC,2026-07-10 00:00:00+00:00,,Francesco Jacopo Pintus,"Declines in the energy intensity of national gross domestic product cannot be simply taken as evidence of a country’s contribution to global decarbonization, notably when they come from structural changes that relocate energy-intensive production abroad. Here we analyze the role of offshoring in shaping energy intensity trends in a panel of 15 countries of the Organization for Economic Co-operation and Development between 1970 and 2021. Using both a decomposition analysis and a structural econometric model, we show that shifts in the composition of national output not mirrored by equivalent changes in domestic consumption patterns significantly and persistently reduce national energy intensity. These findings support the need to move beyond production-based climate metrics and to incorporate global supply chains for a more reliable assessment of national decarbonization pathways.",nature_html,0
