title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
Confinement physical entanglement enables programmable polymeric mesoporous membranes from nanocrystal superlattices,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag323/8698487?rss=1,,National Science Review Advance Access,2026-05-30 00:00:00+00:00,10.1093/nsr/nwag323,Angang Dong,,"Mesoporous membranes with tunable architectures and robust mechanical properties remain challenging to fabricate, owing to the difficulty of simultaneously achieving structural order and mechanical stability. We report a general strategy to construct programmable polymeric mesoporous membranes by exploiting confined physical entanglement within polymer-grafted nanocrystal (NC) superlattices. Two-dimensional superlattices, self-assembled at the liquid-air interface from size-, shape-, and composition-controlled NCs, serve as structural templates, and thermal annealing activates polymer entanglement to stabilize the superlattice framework. Subsequent selective removal of NC cores yields free-standing, long-range-ordered polymeric mesoporous membranes that exhibit remarkable specific moduli and deformability. Importantly, this approach enables independent control over pore size, wall thickness, and pore symmetry, offering precise structural programmability beyond conventional templating methods. This strategy is compatible with a wide range of building blocks and binary superlattice configurations, enabling the rational design of mechanically robust mesoporous membranes with hierarchical structural order.",rss_oup,,限制物理缠结使得纳米晶超晶格的可编程聚合物介孔膜成为可能,由于难以同时实现结构有序和机械稳定性，具有可调结构和强大机械性能的介孔膜的制造仍然具有挑战性。我们报告了一种通过利用聚合物接枝纳米晶体（NC）超晶格内的有限物理缠结来构建可编程聚合物介孔膜的总体策略。二维超晶格由尺寸、形状和成分受控的 NC 在液-气界面自组装而成，可用作结构模板，热退火可激活聚合物缠结以稳定超晶格框架。随后选择性去除 NC 核，产生独立的、长程有序的聚合物介孔膜，该膜表现出显着的比模量和可变形性。重要的是，这种方法可以独立控制孔径、壁厚和孔对称性，提供超越传统模板方法的精确结构可编程性。该策略与各种构建模块和二元超晶格配置兼容，从而能够合理设计具有分层结构顺序的机械坚固的介孔膜。,,deedd3600cd60df8
"Harnessing low-grade thermal energy via thermally regenerative electrochemical cycle: critical insights, performance optimization strategies, and cross-domain applications",https://www.sciencedirect.com/science/article/pii/S0306261926007476?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Dongxing Huo,,,,,通过热再生电化学循环利用低品位热能：关键见解、性能优化策略和跨领域应用,,,966eb48ba0fa01bf
The positive effect of monetary social reciprocity on energy poverty reduction in rural Chinese households,https://www.sciencedirect.com/science/article/pii/S0301421526003095?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Zhiwen Li,,,,,货币社会互惠对中国农村家庭能源贫困减少的积极作用,,,7933da7dbf6c80c5
CryoWriter: a robotic solution for improved Cryo-EM grid preparation,https://www.nature.com/articles/s41467-026-73752-3,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73752-3,Massimo Kube,,"Cryo-electron microscopy (cryo-EM) structure determination relies on preparing thin, vitreous films of sample solution on EM grids. Cryo-EM is a mature technology, but preparing the grids remains a major bottleneck. Here, we evaluate the cryoWriter, a blotting-free, microfluidic grid-preparation robot that writes nanoliter volumes onto EM grids in a controlled environment. Using capillary-writing in spiral or line patterns, we prepared high-quality grids from minimal sample volumes and obtained near-atomic reconstructions for test specimens, including TMV, apoferritin, and the membrane protein TRPM4. We further demonstrate programmable deposition modes, such as writing the sample twice to boost particle density, or two-line writing for on-grid mixing to visualize time-resolved protein–ligand binding. In a challenging case (NrS-1 DNA polymerase), the cryoWriter grids exhibited reduced orientation bias relative to conventional blotting, enabling a more isotropic reconstruction. These results show that the cryoWriter provides a versatile platform for reproducible low volume cryo-EM grid preparation and for on-grid biochemical workflows.",nature_html,,CryoWriter：用于改进 Cryo-EM 网格准备的机器人解决方案,冷冻电子显微镜 (cryo-EM) 结构测定依赖于在 EM 网格上制备样品溶液的玻璃薄膜。冷冻电镜是一项成熟的技术，但准备网格仍然是一个主要瓶颈。在这里，我们评估了 CryoWriter，这是一种无印迹的微流体网格制备机器人，可在受控环境中将纳升体积写入 EM 网格上。使用螺旋或线条模式的毛细管书写，我们从最小的样本量中制备了高质量的网格，并获得了测试样本的近原子重建，包括 TMV、脱铁铁蛋白和膜蛋白 TRPM4。我们进一步演示了可编程沉积模式，例如两次写入样品以提高颗粒密度，或用于网格混合的两行写入以可视化时间分辨的蛋白质-配体结合。在具有挑战性的情况下（NrS-1 DNA 聚合酶），cryoWriter 网格表现出相对于传统印迹减少的方向偏差，从而实现更加各向同性的重建。这些结果表明，cryoWriter 为可重复的低容量冷冻电镜网格制备和网格生化工作流程提供了一个多功能平台。,,8c335dd2bef1a31e
"Green illusions, enduring poverty: How geopolitical fragmentation fuels greenwashing and derails the just energy transition in the global South",https://www.sciencedirect.com/science/article/pii/S0301421526003034?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Ping Chen,,,,,绿色幻想，持久贫困：地缘政治分裂如何助长绿色清洗并破坏南半球公正的能源转型,,,c4199c0747f8b10d
"Applications of performance prediction, design optimization, and operational control using artificial intelligence for organic Rankine cycle: A review",https://www.sciencedirect.com/science/article/pii/S0306261926007245?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Saverio Ottaviano,,,,,使用人工智能在有机朗肯循环中的性能预测、设计优化和操作控制的应用：综述,,,beaf44103a6a733b
Tectonic and climatic implications of the Aleutian Arc initiation ≥56 million years ago,https://www.nature.com/articles/s41467-026-73363-y,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73363-y,B. Baranov,,"The timing and origin of Aleutian subduction initiation remain poorly constrained, yet they are central to understanding late Paleocene to early Eocene plate tectonic reorganization in the Pacific and its possible climatic consequences. Here, we use geochronologic and geochemical data obtained on western Aleutian arc samples from four basal submarine sequences, spanning ~700 km, to constrain Aleutian subduction initiation to ≥56 Ma. Early forearc lavas have similar compositions to forearc basalts erupted during the initial stages of Izu-Bonin-Mariana subduction in the western Pacific. Collision of the Olyutorsky Arc with Kamchatka-Koryak margin and subduction of the Izanagi-Pacific Ridge are likely to have triggered Aleutian subduction initiation and a change in absolute Pacific plate motion from WNW to N between 57 and 55 Ma, as shown with a GPlates model. Our study shows that Aleutian subduction initiation is a key event at the beginning of a major ~10 Myr plate reorganization in the circum-Pacific ending with Hawaii-Emperor-Bend formation. These tectono-magmatic events may have contributed to contemporaneous global climatic events in the late Paleocene and early Eocene.",nature_html,,≥5600万年前阿留申岛弧起始的构造和气候影响,阿留申俯冲起始的时间和起源仍然很少受到限制，但它们对于了解太平洋晚古新世到早始新世板块构造重组及其可能的气候后果至关重要。在这里，我们使用从四个基底海底序列（跨度约 700 公里）的西阿留申弧样本获得的地质年代学和地球化学数据，将阿留申俯冲起始限制在≥56 Ma。早期弧前熔岩与西太平洋伊豆-小笠原-马里亚纳俯冲初期喷发的弧前玄武岩具有相似的成分。正如 GPlates 模型所示，Olyutorsky 岛弧与堪察加-科里亚克边缘的碰撞以及伊邪那岐-太平洋海岭的俯冲可能引发了阿留申俯冲起始，以及 57 Ma 和 55 Ma 之间太平洋板块绝对运动从 WNW 到 NNW 的变化，如 GPlates 模型所示。我们的研究表明，阿留申俯冲起始是环太平洋约 10 迈尔板块重组开始时的一个关键事件，最终形成夏威夷-皇帝弯。这些构造岩浆事件可能促成了古新世晚期和始新世早期的同期全球气候事件。,,32b203eb117dab44
The trade route to renewables: Import as a catalyst for the diffusion of renewable energy technology,https://www.sciencedirect.com/science/article/pii/S0301421526003241?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Faisal Quaiyyum,,,,,可再生能源贸易路线：进口作为可再生能源技术传播的催化剂,,,76365d9f41f53aa4
Supercurrent effect in a charge density wave intertwined superconductor,https://www.nature.com/articles/s41467-026-73778-7,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73778-7,Jinfeng Jia,,"The energy-momentum (E-k) dispersion of quasiparticles constitutes a fundamental concept in condensed matter systems. The ability to modify the E-k dispersion, exemplified by supercurrent-induced Doppler shifts of Bogoliubov quasiparticle spectra in superconductors, enables manipulation of various emergent quantum properties. However, investigations into the supercurrent effect on superconductors intertwined with charge orders remain scarce. Here, we report that the Meissner current, generated by the diamagnetic response to an applied in-plane magnetic field, can tailor Bogoliubov quasiparticle excitations at the precursor charge density wave (CDW) vectors. Our scanning tunneling spectroscopic imaging reveals a field-driven symmetry breaking of CDW modulations, specifically a C3v-to-Cs transition, in superconducting NbSe2. Model calculations suggest that the observed anisotropy originates from a selective Doppler-shift-induced E-k dispersion reconstruction. Furthermore, altering the field direction enables on-demand tuning of anisotropic CDW modulations and visualization of their momentum-space distribution. These results highlight a novel mechanism for controlling emergent electronic phases through momentum-space engineering.",nature_html,,电荷密度波交织超导体中的超电流效应,准粒子的能量动量（E-k）色散构成了凝聚态物质系统的基本概念。改变 E-k 色散的能力，例如超导体中 Bogoliubov 准粒子谱的超电流引起的多普勒频移，使得能够操纵各种涌现的量子特性。然而，对与电荷顺序交织的超导体的超电流效应的研究仍然很少。在这里，我们报告说，由对所施加的面内磁场的抗磁响应产生的迈斯纳电流可以在前体电荷密度波（CDW）矢量处定制博戈柳波夫准粒子激发。我们的扫描隧道光谱成像揭示了超导 NbSe2 中 CDW 调制的场驱动对称性破缺，特别是 C3v 到 Cs 的转变。模型计算表明，观察到的各向异性源于选择性多普勒频移引起的 E-k 色散重建。此外，改变场方向可以按需调整各向异性 CDW 调制并可视化其动量空间分布。这些结果凸显了一种通过动量空间工程控制新兴电子相的新机制。,,1eda9fdc9eea73bb
Au and Ti closer in TS-1 zeolite for enhancing activity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag310/8698473?rss=1,,National Science Review Advance Access,2026-05-30 00:00:00+00:00,10.1093/nsr/nwag310,Bao-Lian Su,,,,,TS-1 沸石中的 Au 和 Ti 更接近，可增强活性,,,a6b78b00328b8f07
