title,link,published,source,pub_date
Paternal SARS-CoV-2 infection impacts sperm small noncoding RNAs and increases anxiety in offspring in a sex-dependent manner,https://www.nature.com/articles/s41467-025-64473-0,2025-10-11 00:00:00,Nature Communications,2025-10-11 00:00:00+00:00
"AI-enhanced flexible ECG patch for accurate heart disease diagnosis, optimal wear positioning, and interactive medical consultation",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf425/8281980?rss=1,2025-10-11 00:00:00,National Science Review Advance Access,2025-10-11 00:00:00+00:00
Mild and metal-free chemical recycling of polyureas via acylation-activated bond cleavage,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf430/8281975?rss=1,2025-10-11 00:00:00,National Science Review Advance Access,2025-10-11 00:00:00+00:00
A new horizon in hydrovoltaics,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf371/8281967?rss=1,2025-10-11 00:00:00,National Science Review Advance Access,2025-10-11 00:00:00+00:00
Idea of biomineralization-inspired fabrication for ceramics at room or low temperature,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf428/8281965?rss=1,2025-10-11 00:00:00,National Science Review Advance Access,2025-10-11 00:00:00+00:00
How hackers forced brewing giant Asahi back to pen and paper,https://www.bbc.com/news/articles/cly64g5y744o?at_medium=RSS&at_campaign=rss,2025-10-11 00:43:35,BBC News,2025-10-11 00:43:35+00:00
Choline Ionic Liquid for Long‐Term Stable Organic Electrochemical Transistors,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202512163?af=R,2025-10-11 03:36:28,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:36:28+00:00
The Efficient and Stable Triboelectric Nanogenerator Materials Based on Electrostatic Attraction Between Biomass and Metal Oxides for UAV Flight Control,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515462?af=R,2025-10-11 03:37:40,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:37:40+00:00
Wafer‐Scale Synthesis of V2O5 Single Crystals for Ultrahigh Doping of 2D Materials,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515674?af=R,2025-10-11 03:38:32,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:38:32+00:00
Cation‐Mediated Low‐Frequency Phonon Suppression in Lead‐free Manganese Halides for High‐efficiency Green Light‐emitting Diodes,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202510599?af=R,2025-10-11 03:39:08,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:39:08+00:00
Phosphine Interlayer Chemical Hardness Engineering via Crystallization Regulation for Wide‐Bandgap Perovskites and All‐Perovskite Tandems,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515163?af=R,2025-10-11 03:40:12,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:40:12+00:00
"Unveiling the Electrolyte and Solid Electrolyte Interphase in Sodium Ion Batteries: Mechanisms, Progress, and Perspectives",https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202510882?af=R,2025-10-11 03:41:35,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:41:35+00:00
Dual Targeting of m7G tRNA Modification and Histone Acetylation using Carrier‐Free Nano‐Epidrugs to Evoke Osteosarcoma Chemosensitization,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202505951?af=R,2025-10-11 03:42:46,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:42:46+00:00
Synergistic Molecular Engineering of Crosslinked Polymer Dielectrics for High‐Temperature Capacitive Energy Storage,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202513483?af=R,2025-10-11 03:42:48,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:42:48+00:00
Self‐Layered Triboelectric Nanogenerator for Ultrahigh Electricity Supply,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202514186?af=R,2025-10-11 03:48:09,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:48:09+00:00
Reducing External Pressure Demands in Solid‐State Lithium Metal Batteries: Multi‐Scale Strategies and Future Pathways,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202504613?af=R,2025-10-11 04:15:39,Wiley: Advanced Energy Materials: Table of Contents,2025-10-11 04:15:39+00:00
An n‐type Polymer with High‐Performance Thermoelectric Properties by Solvent‐Mediated Oxidation,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202502996?af=R,2025-10-11 04:18:05,Wiley: Advanced Energy Materials: Table of Contents,2025-10-11 04:18:05+00:00
“They’re Mining Where Sharks Give Birth”: This Deep-Sea Rush Threatens Hidden Ocean Species (and the Damage May Already Be Spreading) - Sustainability Times,https://news.google.com/rss/articles/CBMiggJBVV95cUxNcEh3aXZ0UjRQZXpua1Qwak1UY2dGZkRJczhrRkhVU2lDZU54S0dVVUZQOE9GSlJvWHBNeE1MaXJxc19vUWNiM3NOUlVOTTVGOEdWeDFaVkZST2ZmYXI3OUZMUUFKRnJybXZmM1FrTC1SVDhUSnFlYnFXN1pERVdwbW41N0NwaWY5ajBuUndaRnZTV2hmQmRCT2xYYk9obko0QnJ1THdWZ1lNUE8wVC1nT0tnbnF3QWo3R0gwcEtqd3JVSDZNN1VqNGltREIzeDAzdlFHZ1FYQk1GQUh4T01Va1NfN3VlZG82R1o5ZHdseW43MVZEV0VQYnBibnVFckRnR0E?oc=5,2025-10-11 13:09:15,"""deep sea mining"" - Google News",2025-10-11 13:09:15+00:00
Inhance says APR decision on fluorination ‘deeply concerning' - Plastics News,https://news.google.com/rss/articles/CBMinAFBVV95cUxNQWpoX3Q5RmZOWE51bE9vUllmeXNTQmh3QTZTaWh4YzRiYWxUelJnZktJelVvTWttMzAzTUdYWDdSTkh0M05EX08xT0hiRHBBQ0EyUkkwZTUxb29xSUh3dXRLdkQ4V296RkVkOWpsLU9PTHdkNmRUbHZPaGhlcm1qWFE1WEwxdTBjSXFLR2VsNFc1UmpyMlo2R3Z0OE0?oc=5,2025-10-11 13:35:39,"""plastic recycling"" - Google News",2025-10-11 13:35:39+00:00
"Porsche, BASF and BEST: Recycling end-of-life cars now possible - Paint & Panel",https://news.google.com/rss/articles/CBMipgFBVV95cUxORi03aWw4MFV6azNLTGp5UEVRaENYc2tUWUV0eW1vNlAwaDBSc21CMVdFOTJEUTI2S1k0NzRBbGNrbjBJNzFZaUFXVHVwZHJVdjNzT29laml0V1ZPb2k4ZGVHUzg0NjBtUi1ySlV0S05yd2k2eEhBYkpkVThUaWhlWWswUUlNdmRHSmJsMkx3bXFXSTdzUmlYRGlERnZyME1BZ1Q2ZXZ3?oc=5,2025-10-11 21:50:28,"""plastic recycling"" - Google News",2025-10-11 21:50:28+00:00
